 1.28	  0.23	  1.84	  1.23	  0.21	  1.89
  1.28	  0.23	  1.85	  1.23	  0.20	  1.89
  1.27	  0.22	  1.85	  1.22	  0.20	  1.90
  1.27	  0.22	  1.86	  1.22	  0.20	  1.90
  1.26	  0.22	  1.86	  1.22	  0.19	  1.91
  1.26	  0.22	  1.86	  1.21	  0.19	  1.91
  1.26	  0.22	  1.87	  1.21	  0.19	  1.91
  1.25	  0.21	  1.87	  1.20	  0.19	  1.92
  1.25	  0.21	  1.88	  1.20	  0.18	  1.92
  1.24	  0.21	  1.88	  1.19	  0.18	  1.93
  1.24	  0.21	  1.89	  1.19	  0.17	  1.93
  1.23	  0.20	  1.89	  1.18	  0.17	  1.93
  1.23	  0.20	  1.89	  1.18	  0.17	  1.94
  1.22	  0.20	  1.90	  1.17	  0.16	  1.94
  1.22	  0.19	  1.90	  1.17	  0.16	  1.94
  1.22	  0.19	  1.91	  1.17	  0.16	  1.95
  1.21	  0.19	  1.91	  1.16	  0.15	  1.95
  1.21	  0.18	  1.91	  1.16	  0.15	  1.95
  1.20	  0.18	  1.92	  1.15	  0.14	  1.95
  1.20	  0.18	  1.92	  1.15	  0.14	  1.96
  1.19	  0.17	  1.92	  1.14	  0.14	  1.96
  1.19	  0.17	  1.93	  1.14	  0.13	  1.96
  1.18	  0.17	  1.93	  1.13	  0.13	  1.97
  1.18	  0.16	  1.93	  1.13	  0.12	  1.97
  1.17	  0.16	  1.94	  1.12	  0.12	  1.97
  1.17	  0.16	  1.94	  1.12	  0.11	  1.97
  1.17	  0.15	  1.94	  1.11	  0.11	  1.97
  1.16	  0.15	  1.95	  1.11	  0.11	  1.98
  1.16	  0.14	  1.95	  1.10	  0.10	  1.98
  1.15	  0.14	  1.95	  1.10	  0.10	  1.98
  1.15	  0.14	  1.95	  1.09	  0.09	  1.98
  1.14	  0.13	  1.96	  1.09	  0.09	  1.98
  1.14	  0.13	  1.96	  1.08	  0.08	  1.99
  1.13	  0.12	  1.96	  1.08	  0.08	  1.99
  1.13	  0.12	  1.97	  1.07	  0.07	  1.99
  1.12	  0.11	  1.97	  1.07	  0.07	  1.99
  1.12	  0.11	  1.97	  1.06	  0.06	  1.99
  1.11	  0.11	  1.97	  1.06	  0.06	  1.99
  1.11	  0.10	  1.97	  1.05	  0.05	  1.99
  1.10	  0.10	  1.98	  1.05	  0.05	  2.00
  1.10	  0.09	  1.98	  1.04	  0.04	  2.00
  1.09	  0.09	  1.98	  1.04	  0.04	  2.00
  1.09	  0.08	  1.98	  1.03	  0.03	  2.00
  1.08	  0.08	  1.98	  1.03	  0.03	  2.00
  1.08	  0.07	  1.98	  1.02	  0.02	  2.00
  1.07	  0.07	  1.99	  1.02	  0.02	  2.00
  1.07	  0.06	  1.99	  1.01	  0.01	  2.00
  1.06	  0.06	  1.99	  1.01	  0.01	  2.00
  1.06	  0.05	  1.99	  1.00	  0.00	  2.00
  1.05	  0.05	  1.99	  1.00	 -0.00	  2.00
  1.05	  0.04	  1.99	  0.99	 -0.01	  2.00
  1.04	  0.04	  1.99	  0.99	 -0.01	  2.00
  1.04	  0.04	  1.99	  0.98	 -0.02	  2.00
  1.03	  0.03	  1.99	  0.98	 -0.02	  2.00
  1.03	  0.03	  2.00	  0.97	 -0.03	  2.00
  1.02	  0.02	  2.00	  0.97	 -0.03	  2.00
  1.02	  0.02	  2.00	  0.96	 -0.04	  2.00
  1.01	  0.01	  2.00	  0.96	 -0.04	  2.00
  1.01	  0.01	  2.00	  0.95	 -0.05	  2.00
